B_4K	rho_4K	B_40K	rho_40K	B_80K	rho_80K	B_Nd_30K	rho_Nd_30K
15.195	 1.0089e+00	0.12248	1.0001	 1.2596e-01	 1.0001e+00	 8.4054e+01	 1.1566e+00
15.206	 1.0074e+00	0.12259	1.0006	 1.2612e-01	 1.0000e+00	 8.4045e+01	 1.1566e+00
15.217	 1.0092e+00	0.1227	0.99933	 1.2627e-01	 9.9995e-01	 8.4037e+01	 1.1564e+00
15.228	 1.0083e+00	0.12281	1.0007	 1.2643e-01	 9.9991e-01	 8.4028e+01	 1.1561e+00
15.239	 1.0115e+00	0.12292	0.99989	 1.2658e-01	 9.9995e-01	 8.4019e+01	 1.1559e+00
15.25	 1.0093e+00	0.12304	1.0006	 1.2674e-01	 1.0000e+00	 8.4010e+01	 1.1559e+00
15.261	 1.0102e+00	0.12315	1.0001	 1.2689e-01	 1.0001e+00	 8.4001e+01	 1.1562e+00
15.272	 1.0102e+00	0.12326	1.0008	 1.2705e-01	 1.0001e+00	 8.3992e+01	 1.1567e+00
15.283	 1.0112e+00	0.12337	1.0007	 1.2721e-01	 1.0001e+00	 8.3983e+01	 1.1570e+00
15.294	 1.0127e+00	0.12348	1.0001	 1.2737e-01	 1.0001e+00	 8.3974e+01	 1.1572e+00
15.305	 1.0099e+00	0.1236	1.0005	 1.2753e-01	 1.0000e+00	 8.3965e+01	 1.1571e+00
15.316	 1.0130e+00	0.12372	0.99949	 1.2770e-01	 1.0001e+00	 8.3956e+01	 1.1567e+00
15.326	 1.0124e+00	0.12384	1.0007	 1.2785e-01	 1.0001e+00	 8.3946e+01	 1.1563e+00
15.337	 1.0142e+00	0.12396	0.99979	 1.2802e-01	 1.0002e+00	 8.3937e+01	 1.1559e+00
15.348	 1.0140e+00	0.12407	1.0008	 1.2818e-01	 1.0002e+00	 8.3928e+01	 1.1559e+00
15.359	 1.0134e+00	0.12418	1.0002	 1.2834e-01	 1.0002e+00	 8.3918e+01	 1.1561e+00
15.37	 1.0145e+00	0.12429	1.0002	 1.2851e-01	 1.0002e+00	 8.3909e+01	 1.1565e+00
15.381	 1.0154e+00	0.12441	1.0004	 1.2867e-01	 1.0001e+00	 8.3900e+01	 1.1569e+00
15.392	 1.0158e+00	0.12452	1.0001	 1.2882e-01	 1.0001e+00	 8.3890e+01	 1.1570e+00
15.403	 1.0147e+00	0.12464	1.0008	 1.2899e-01	 9.9997e-01	 8.3881e+01	 1.1569e+00
15.414	 1.0181e+00	0.12476	0.99926	 1.2915e-01	 9.9993e-01	 8.3871e+01	 1.1566e+00
15.425	 1.0158e+00	0.12488	1.0004	 1.2930e-01	 9.9987e-01	 8.3861e+01	 1.1562e+00
15.436	 1.0169e+00	0.125	0.99996	 1.2946e-01	 9.9989e-01	 8.3852e+01	 1.1560e+00
15.447	 1.0179e+00	0.12513	1.0004	 1.2962e-01	 9.9991e-01	 8.3842e+01	 1.1560e+00
15.458	 1.0176e+00	0.12525	0.99966	 1.2978e-01	 9.9993e-01	 8.3832e+01	 1.1564e+00
15.469	 1.0190e+00	0.12538	0.99959	 1.2994e-01	 9.9991e-01	 8.3823e+01	 1.1569e+00
